!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      3600.00    5.00    0.00    0.00       -38.190     -38.806     -39.039       0.616       0.849       0.232
      3600.00    5.50    0.00    0.00       -38.184     -38.780     -39.014       0.597       0.831       0.234
      3700.00    2.50    0.00    0.00       -38.207     -39.112     -39.314       0.905       1.107       0.202
      3700.00    3.00    0.00    0.00       -38.179     -39.091     -39.278       0.912       1.099       0.187
      3700.00    3.50    0.00    0.00       -38.242     -39.100     -39.283       0.857       1.041       0.184
      3700.00    4.00    0.00    0.00       -38.264     -39.034     -39.228       0.770       0.964       0.195
      3700.00    4.50    0.00    0.00       -38.270     -38.948     -39.165       0.679       0.895       0.217
      3700.00    5.00    0.00    0.00       -38.277     -38.900     -39.126       0.623       0.849       0.226
      3700.00    5.50    0.00    0.00       -38.276     -38.873     -39.102       0.597       0.826       0.228
      3800.00    2.50    0.00    0.00       -38.292     -39.165     -39.360       0.873       1.068       0.195
      3800.00    3.00    0.00    0.00       -38.307     -39.179     -39.363       0.872       1.056       0.184
      3800.00    3.50    0.00    0.00       -38.321     -39.173     -39.351       0.852       1.029       0.177
      3800.00    4.00    0.00    0.00       -38.343     -39.124     -39.307       0.781       0.964       0.183
      3800.00    4.50    0.00    0.00       -38.346     -39.042     -39.245       0.696       0.899       0.203
      3800.00    5.00    0.00    0.00       -38.352     -38.980     -39.199       0.628       0.847       0.219
      3800.00    5.50    0.00    0.00       -38.353     -38.948     -39.171       0.596       0.818       0.223
      3900.00    2.50    0.00    0.00       -38.376     -39.213     -39.399       0.838       1.023       0.186
      3900.00    3.00    0.00    0.00       -38.387     -39.229     -39.406       0.842       1.019       0.177
      3900.00    3.50    0.00    0.00       -38.401     -39.234     -39.405       0.832       1.003       0.171
      3900.00    4.00    0.00    0.00       -38.415     -39.203     -39.375       0.788       0.960       0.173
      3900.00    4.50    0.00    0.00       -38.425     -39.135     -39.323       0.710       0.898       0.188
      3900.00    5.00    0.00    0.00       -38.429     -39.064     -39.271       0.635       0.842       0.207
      3900.00    5.50    0.00    0.00       -38.427     -39.019     -39.236       0.592       0.809       0.217
      4000.00    2.50    0.00    0.00       -38.459     -39.259     -39.436       0.801       0.977       0.176
      4000.00    3.00    0.00    0.00       -38.468     -39.276     -39.445       0.808       0.977       0.169
      4000.00    3.50    0.00    0.00       -38.479     -39.284     -39.448       0.805       0.969       0.164
      4000.00    4.00    0.00    0.00       -38.492     -39.273     -39.436       0.781       0.943       0.162
      4000.00    4.50    0.00    0.00       -38.504     -39.221     -39.394       0.717       0.890       0.173
      4000.00    5.00    0.00    0.00       -38.509     -39.156     -39.347       0.647       0.838       0.191
      4000.00    5.50    0.00    0.00       -38.494     -39.064     -39.279       0.569       0.785       0.215
      4100.00    2.50    0.00    0.00       -38.542     -39.303     -39.470       0.761       0.928       0.166
      4100.00    3.00    0.00    0.00       -38.557     -39.322     -39.482       0.766       0.926       0.160
      4100.00    3.50    0.00    0.00       -38.563     -39.334     -39.489       0.770       0.926       0.155
      4100.00    4.00    0.00    0.00       -38.576     -39.335     -39.489       0.759       0.913       0.153
      4100.00    4.50    0.00    0.00       -38.590     -39.306     -39.464       0.715       0.874       0.159
      4100.00    5.00    0.00    0.00       -38.589     -39.239     -39.415       0.650       0.826       0.176
      4100.00    5.50    0.00    0.00       -38.592     -39.191     -39.380       0.598       0.788       0.190
      4200.00    2.50    0.00    0.00       -38.624     -39.345     -39.502       0.722       0.879       0.157
      4200.00    3.00    0.00    0.00       -38.636     -39.363     -39.515       0.727       0.879       0.152
      4200.00    3.50    0.00    0.00       -38.641     -39.374     -39.522       0.734       0.881       0.147
      4200.00    4.00    0.00    0.00       -38.651     -39.383     -39.528       0.732       0.877       0.145
      4200.00    4.50    0.00    0.00       -38.662     -39.368     -39.516       0.706       0.854       0.148
      4200.00    5.00    0.00    0.00       -38.667     -39.321     -39.481       0.654       0.814       0.159
      4200.00    5.50    0.00    0.00       -38.670     -39.273     -39.447       0.603       0.776       0.173
      4300.00    2.50    0.00    0.00       -38.704     -39.387     -39.535       0.682       0.830       0.148
      4300.00    3.00    0.00    0.00       -38.714     -39.403     -39.547       0.689       0.833       0.144
