!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      3400.00    4.50    0.00    0.00       -37.123     -37.276     -37.046       0.154      -0.077      -0.231
      3400.00    5.00    0.00    0.00       -37.105     -37.231     -37.007       0.127      -0.098      -0.225
      3400.00    5.50    0.00    0.00       -37.115     -37.239     -37.011       0.123      -0.105      -0.228
      3500.00    2.50    0.00    0.00       -37.160     -37.618     -37.355       0.458       0.195      -0.263
      3500.00    3.00    0.00    0.00       -37.176     -37.608     -37.327       0.431       0.151      -0.281
      3500.00    3.50    0.00    0.00       -37.195     -37.541     -37.265       0.346       0.070      -0.276
      3500.00    4.00    0.00    0.00       -37.209     -37.447     -37.195       0.238      -0.014      -0.252
      3500.00    4.50    0.00    0.00       -37.204     -37.371     -37.136       0.167      -0.068      -0.234
      3500.00    5.00    0.00    0.00       -37.196     -37.329     -37.098       0.133      -0.097      -0.230
      3500.00    5.50    0.00    0.00       -37.201     -37.324     -37.091       0.122      -0.110      -0.232
      3600.00    2.50    0.00    0.00       -37.237     -37.685     -37.422       0.448       0.185      -0.263
      3600.00    3.00    0.00    0.00       -37.253     -37.688     -37.409       0.434       0.155      -0.279
      3600.00    3.50    0.00    0.00       -37.271     -37.642     -37.361       0.372       0.090      -0.281
      3600.00    4.00    0.00    0.00       -37.290     -37.563     -37.298       0.272       0.008      -0.264
      3600.00    4.50    0.00    0.00       -37.290     -37.474     -37.232       0.185      -0.057      -0.242
      3600.00    5.00    0.00    0.00       -37.294     -37.435     -37.197       0.142      -0.096      -0.238
      3600.00    5.50    0.00    0.00       -37.287     -37.409     -37.173       0.122      -0.114      -0.236
      3700.00    2.50    0.00    0.00       -37.310     -37.740     -37.472       0.430       0.162      -0.268
      3700.00    3.00    0.00    0.00       -37.283     -37.720     -37.437       0.438       0.154      -0.284
      3700.00    3.50    0.00    0.00       -37.346     -37.728     -37.442       0.383       0.096      -0.286
      3700.00    4.00    0.00    0.00       -37.368     -37.662     -37.387       0.295       0.019      -0.276
      3700.00    4.50    0.00    0.00       -37.373     -37.577     -37.323       0.204      -0.050      -0.254
      3700.00    5.00    0.00    0.00       -37.381     -37.529     -37.285       0.148      -0.096      -0.244
      3700.00    5.50    0.00    0.00       -37.380     -37.502     -37.260       0.122      -0.120      -0.242
      3800.00    2.50    0.00    0.00       -37.396     -37.794     -37.518       0.398       0.122      -0.276
      3800.00    3.00    0.00    0.00       -37.410     -37.808     -37.522       0.397       0.111      -0.286
      3800.00    3.50    0.00    0.00       -37.425     -37.802     -37.509       0.377       0.084      -0.293
      3800.00    4.00    0.00    0.00       -37.447     -37.752     -37.465       0.306       0.019      -0.287
      3800.00    4.50    0.00    0.00       -37.450     -37.671     -37.404       0.221      -0.046      -0.267
      3800.00    5.00    0.00    0.00       -37.456     -37.609     -37.357       0.153      -0.099      -0.252
      3800.00    5.50    0.00    0.00       -37.456     -37.577     -37.329       0.121      -0.127      -0.248
      3900.00    2.50    0.00    0.00       -37.479     -37.842     -37.558       0.363       0.078      -0.285
      3900.00    3.00    0.00    0.00       -37.490     -37.858     -37.565       0.367       0.074      -0.293
      3900.00    3.50    0.00    0.00       -37.505     -37.863     -37.563       0.358       0.058      -0.300
      3900.00    4.00    0.00    0.00       -37.519     -37.831     -37.534       0.313       0.015      -0.297
      3900.00    4.50    0.00    0.00       -37.529     -37.764     -37.481       0.235      -0.047      -0.282
      3900.00    5.00    0.00    0.00       -37.533     -37.693     -37.429       0.160      -0.103      -0.264
      3900.00    5.50    0.00    0.00       -37.531     -37.648     -37.394       0.117      -0.137      -0.254
      4000.00    2.50    0.00    0.00       -37.562     -37.888     -37.594       0.326       0.032      -0.294
      4000.00    3.00    0.00    0.00       -37.572     -37.905     -37.603       0.333       0.032      -0.301
      4000.00    3.50    0.00    0.00       -37.583     -37.913     -37.606       0.331       0.024      -0.307
      4000.00    4.00    0.00    0.00       -37.596     -37.902     -37.594       0.306      -0.002      -0.308
      4000.00    4.50    0.00    0.00       -37.608     -37.850     -37.553       0.242      -0.055      -0.298
      4000.00    5.00    0.00    0.00       -37.613     -37.785     -37.505       0.172      -0.107      -0.279
      4000.00    5.50    0.00    0.00       -37.598     -37.693     -37.438       0.095      -0.160      -0.255
      4100.00    2.50    0.00    0.00       -37.646     -37.932     -37.628       0.287      -0.017      -0.304
      4100.00    3.00    0.00    0.00       -37.660     -37.951     -37.641       0.291      -0.020      -0.310
      4100.00    3.50    0.00    0.00       -37.667     -37.963     -37.648       0.296      -0.019      -0.315
      4100.00    4.00    0.00    0.00       -37.679     -37.964     -37.647       0.285      -0.032      -0.317
      4100.00    4.50    0.00    0.00       -37.694     -37.935     -37.623       0.241      -0.071      -0.312
      4100.00    5.00    0.00    0.00       -37.692     -37.867     -37.573       0.175      -0.119      -0.294
      4100.00    5.50    0.00    0.00       -37.696     -37.820     -37.539       0.124      -0.157      -0.281
      4200.00    2.50    0.00    0.00       -37.727     -37.974     -37.661       0.247      -0.067      -0.313
      4200.00    3.00    0.00    0.00       -37.740     -37.992     -37.673       0.252      -0.067      -0.319
