 # M = 0.35 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
 154  7.31808230   0.692  -1.33625   3.53571   6.65497   1.12322   0.00000   1.531E-03   0.000E+00   9.985E-01
 155  7.32125130   0.692  -1.33863   3.53570   6.65610   1.12669   0.00000   1.657E-03   0.000E+00   9.983E-01
 156  7.32439733   0.692  -1.34101   3.53570   6.65724   1.13016   0.00000   1.784E-03   0.000E+00   9.982E-01
 157  7.32752074   0.692  -1.34339   3.53569   6.65837   1.13364   0.00000   1.911E-03   0.000E+00   9.981E-01
 158  7.33062185   0.692  -1.34572   3.53568   6.65949   1.13705   0.00000   2.000E-03   0.000E+00   9.980E-01
 159  7.33370097   0.692  -1.34796   3.53567   6.66055   1.14030   0.00000   2.000E-03   0.000E+00   9.980E-01
 160  7.33675841   0.692  -1.35019   3.53566   6.66161   1.14356   0.00000   2.000E-03   0.000E+00   9.980E-01
 161  7.33979448   0.692  -1.35242   3.53565   6.66268   1.14682   0.00000   2.000E-03   0.000E+00   9.980E-01
 162  7.34280947   0.692  -1.35466   3.53564   6.66374   1.15007   0.00000   2.000E-03   0.000E+00   9.980E-01
 163  7.34580368   0.692  -1.35689   3.53564   6.66480   1.15333   0.00000   2.000E-03   0.000E+00   9.980E-01
 164  7.34877738   0.692  -1.35912   3.53563   6.66587   1.15658   0.00000   2.000E-03   0.000E+00   9.980E-01
 165  7.35173086   0.692  -1.36135   3.53562   6.66693   1.15984   0.00000   2.000E-03   0.000E+00   9.980E-01
 166  7.35466439   0.692  -1.36359   3.53561   6.66799   1.16310   0.00000   2.000E-03   0.000E+00   9.980E-01
 167  7.35757824   0.692  -1.36570   3.53560   6.66899   1.16617   0.00000   2.100E-03   0.000E+00   9.979E-01
 168  7.36047267   0.692  -1.36779   3.53559   6.66998   1.16923   0.00000   2.211E-03   0.000E+00   9.978E-01
 169  7.36334793   0.692  -1.36988   3.53558   6.67097   1.17228   0.00000   2.323E-03   0.000E+00   9.977E-01
 170  7.36620429   0.692  -1.37198   3.53557   6.67196   1.17534   0.00000   2.434E-03   0.000E+00   9.976E-01
 171  7.36904198   0.692  -1.37407   3.53556   6.67295   1.17839   0.00000   2.546E-03   0.000E+00   9.975E-01
 172  7.37186125   0.692  -1.37617   3.53555   6.67394   1.18145   0.00000   2.658E-03   0.000E+00   9.973E-01
 173  7.37466233   0.692  -1.37826   3.53554   6.67493   1.18450   0.00000   2.769E-03   0.000E+00   9.972E-01
 174  7.37744547   0.692  -1.38036   3.53553   6.67592   1.18756   0.00000   2.881E-03   0.000E+00   9.971E-01
 175  7.38021088   0.692  -1.38245   3.53552   6.67691   1.19061   0.00000   2.993E-03   0.000E+00   9.970E-01
 176  7.38295880   0.692  -1.38442   3.53551   6.67782   1.19352   0.00000   3.000E-03   0.000E+00   9.970E-01
 177  7.38568944   0.692  -1.38639   3.53550   6.67873   1.19641   0.00000   3.000E-03   0.000E+00   9.970E-01
 178  7.38840301   0.692  -1.38835   3.53550   6.67963   1.19930   0.00000   3.000E-03   0.000E+00   9.970E-01
 179  7.39109974   0.692  -1.39032   3.53549   6.68053   1.20220   0.00000   3.000E-03   0.000E+00   9.970E-01
 180  7.39377983   0.692  -1.39228   3.53548   6.68144   1.20509   0.00000   3.000E-03   0.000E+00   9.970E-01
 181  7.39644347   0.692  -1.39425   3.53547   6.68234   1.20798   0.00000   3.000E-03   0.000E+00   9.970E-01
 182  7.39909088   0.692  -1.39621   3.53546   6.68325   1.21087   0.00000   3.000E-03   0.000E+00   9.970E-01
 183  7.40172225   0.692  -1.39817   3.53545   6.68415   1.21377   0.00000   3.000E-03   0.000E+00   9.970E-01
 184  7.40433777   0.692  -1.40014   3.53545   6.68505   1.21666   0.00000   3.000E-03   0.000E+00   9.970E-01
 185  7.40693764   0.692  -1.40206   3.53544   6.68593   1.21949   0.00000   3.038E-03   0.000E+00   9.970E-01
 186  7.40952203   0.692  -1.40390   3.53543   6.68675   1.22223   0.00000   3.136E-03   0.000E+00   9.969E-01
 187  7.41209113   0.692  -1.40574   3.53542   6.68758   1.22496   0.00000   3.234E-03   0.000E+00   9.968E-01
